"","iso3166_country","GID_0_gadm","NAME_0_gadm","GID_1_gadm","GID_1_edits","NAME_1_gadm","VARNAME_1_gadm","NL_NAME_1_gadm","TYPE_1_gadm","ENGTYPE_1_gadm","CC_1_gadm","HASC_1_gadm","region_polygoncluster","polygoncluster_name","project_ifnodata","project_ifconstructed","regionname_ISOenglish","regionname_alt","regionname_nativescript","regioncode","system","regioncode_changed","regioncode_old","Notes","mergekey","regioncode_disagg"
"86","AR","ARG","Argentina","ARG.16_1","ARG.16_1","R√≠o Negro",NA,"R√≠o Negro","Provincia","Province",NA,"AR.RN","","",NA,NA,"Río Negro","","Río Negro","AR-R","iso3166-2","","","","AR-R","AR-R"
"87","AR","ARG","Argentina","ARG.17_1","ARG.17_1","Salta",NA,"Salta","Provincia","Province",NA,"AR.SA","","",NA,NA,"Salta","","Salta","AR-A","iso3166-2","","","","AR-A","AR-A"
"88","AR","ARG","Argentina","ARG.18_1","ARG.18_1","San Juan",NA,"San Juan","Provincia","Province",NA,"AR.SJ","","",NA,NA,"San Juan","","San Juan","AR-J","iso3166-2","","","","AR-J","AR-J"
"89","AR","ARG","Argentina","ARG.19_1","ARG.19_1","San Luis",NA,"San Luis","Provincia","Province",NA,"AR.SL","","",NA,NA,"San Luis","","San Luis","AR-D","iso3166-2","","","","AR-D","AR-D"
"90","AR","ARG","Argentina","ARG.20_1","ARG.20_1","Santa Cruz",NA,"Santa Cruz","Provincia","Province",NA,"AR.SC","A","Chubut, Santa Cruz, and Tierra del Fuego",NA,NA,"Santa Cruz","","Santa Cruz","AR.A","iso3166-2","","","","AR.A","AR-Z"
"91","AR","ARG","Argentina","ARG.21_1","ARG.21_1","Santa Fe","Santa F√©","Santa Fe","Provincia","Province",NA,"AR.SF","","",NA,NA,"Santa Fe","","Santa Fe","AR-S","iso3166-2","","","","AR-S","AR-S"
"92","AR","ARG","Argentina","ARG.22_1","ARG.22_1","Santiago del Estero",NA,"Santiago del Estero","Provincia","Province",NA,"AR.SE","","",NA,NA,"Santiago del Estero","","Santiago del Estero","AR-G","iso3166-2","","","","AR-G","AR-G"
"93","AR","ARG","Argentina","ARG.23_1","ARG.23_1","Tierra del Fuego","Feuerland|Terra del Fuoco|Terre de Feu|Terra do Fogo|Tierra del Fuego|Ant√°rtida e Islas del Atl√°ntico Sur","Tierra del Fuego","Territorio Nacional|Provincia","National Territory",NA,"AR.TF","A","Chubut, Santa Cruz, and Tierra del Fuego",NA,NA,"Tierra del Fuego","","Tierra del Fuego","AR.A","iso3166-2","","","","AR.A","AR-V"
"94","AR","ARG","Argentina","ARG.24_1","ARG.24_1","Tucum√°n","Tucum√£o","Tucum√°n","Provincia","Province",NA,"AR.TM","","",NA,NA,"Tucumán","","Tucumán","AR-T","iso3166-2","","","","AR-T","AR-T"
"95","AT","AUT","Austria","AUT.1_1","AUT.1_1","Burgenland","Burgenl√¢ndia","Burgenland","Bundesl√§nd|L√§nd","State",NA,"AT.BU","","",NA,NA,"Burgenland","Burgenland","Burgenland","AT-1","iso3166-2","","","","AT-1","AT-1"
